idx,Q,GOLD,PRED,EM,F1,BiA,BiQ,CrA,CrQ,BEM,PA,LJ,LJ_label
216,How does Emma feel about her artwork?,She doubts its value.,Emma feels apprehensive and anxious about sharing her artwork with Jake.,0,0.0,0.3233,0.8041,0.0352,0.1138,0.426,0.426,1.0,EQUIVALENT
217,How does Emma feel about sharing with Jake?,She feels disconnected.,Emma feels apprehensive and anxious about sharing her artwork with Jake.,0,0.1429,0.3493,0.8449,0.0153,0.1176,0.6861,0.6861,0.5,PARTIAL
218,How disappointed is Emily about her loan denial?,Very disappointed.,Emily is significantly disappointed and frustrated about her loan denial due to her misunderstanding of the bank's policy and her belief that she had met all the required criteria.,0,0.0,0.2934,0.912,0.0964,0.1349,0.9832,0.9832,1.0,EQUIVALENT
219,How angry is Emily at the bank's decision?,Somewhat angry.,"Emily is likely quite angry and frustrated at the bank's decision, as it contradicts her expectations and understanding of the process, causing her to question the fairness and transparency of the bank's policy.",0,0.0,0.3576,0.9215,0.1165,0.1419,0.9843,0.9843,0.5,PARTIAL
220,How angry is Emily about Jake smoking?,Moderately angry.,"Emily is likely experiencing a significant level of anger or frustration about Jake smoking, driven by her concern for his health and the perceived lack of understanding or disregard for the harmful effects of smoking.",0,0.0,0.3195,0.9206,0.1023,0.1513,0.378,0.378,0.5,PARTIAL
221,What fears does Emily have regarding Jake's smoking?,Concern for his health.,"Emily fears that Jake may not be aware of the potential health risks associated with smoking, such as lung cancer, heart disease, and respiratory problems.",0,0.0,0.4165,0.8809,0.0583,0.141,0.4968,0.4968,1.0,EQUIVALENT
222,Is Emily disappointed in her friends for smoking?,"Yes, she feels let down.","Yes, Emily is disappointed in her friends for smoking, as her concern for Jake's health and her questioning of his lack of awareness about the harm of smoking reveal her disapproval of his behavior.",0,0.0513,0.2958,0.8973,0.1051,0.1372,0.6899,0.3975,1.0,EQUIVALENT
223,How disappointed is Emily about her lost package?,Very disappointed.,"Emily is highly disappointed about her lost package, as it not only disrupts her plans but also causes her emotional distress due to the anticipation and potential benefits she was expecting to receive from it.",0,0.0,0.3119,0.9075,0.0942,0.1382,0.9888,0.9888,1.0,EQUIVALENT
224,How secure does Emily feel about her package delivery?,Not secure at all.,"Emily feels insecure and unsettled about her package delivery due to the realization that it was lost, leading to frustration and a sense of helplessness.",0,0.0,0.1235,0.8832,0.0423,0.1248,0.6729,0.3576,1.0,EQUIVALENT
225,How negative are Emily's feelings about the situation?,Highly negative.,"Emily's feelings about the situation are extremely negative, as she is dealing with anxiety, frustration, and inconvenience due to the lost package.",0,0.0,0.2602,0.8661,0.101,0.1202,0.9884,0.9884,1.0,EQUIVALENT
226,What is Li's main emotion regarding the quota competition?,Fear of failure,Anxiety,0,0.0,0.5014,0.9249,0.0228,0.1444,0.0502,0.0502,1.0,EQUIVALENT
227,How does Li perceive her chances in the competition?,Very low,"Li perceives her chances in the competition as slim and uncertain due to her escalating anxiety and fear of not meeting the expectations, contrasting with Zhang's apparent confidence.",0,0.0,0.1029,0.8426,0.0355,0.1243,0.1368,0.1368,1.0,EQUIVALENT
228,How does Li feel about her qualifications for the quota?,Insecure,Li feels insecure and lacks confidence in her qualifications for the research quota.,0,0.1429,0.2981,0.9158,0.1139,0.1697,0.9907,0.9907,1.0,EQUIVALENT
229,What is Emma's primary emotion before speaking?,Fear,Anxiety,0,0.0,0.6687,0.9434,0.0354,0.1286,0.5117,0.5117,1.0,EQUIVALENT
230,How confident does Emma feel about her speech?,Low,"Emma feels a blend of fear and determination about her speech, reflecting her apprehension about potential mistakes but also a resolve to face the challenge.",0,0.0,0.064,0.831,0.024,0.1401,0.1238,0.1238,0.5,PARTIAL
231,What does Jake's encouragement imply about Emma's potential?,High,"Jake's encouragement implies that Emma has the potential to succeed and overcome her fears, as he believes in her abilities and wants to bolster her confidence.",0,0.0,0.0893,0.896,0.0056,0.1455,0.1916,0.1916,1.0,EQUIVALENT
232,What is Emily's emotional reaction to Jake's message?,She feels anxious.,Emily feels a mix of excitement and dread in response to Jake's message about a surprise.,0,0.1053,0.4519,0.9203,0.0789,0.1284,0.9871,0.9871,0.0,NOT_EQUIVALENT
233,What does Emily hope for regarding the surprise?,She hopes it's good news.,"Emily likely hopes for the surprise to be a positive and enjoyable experience, despite her initial anxiety and uncertainty.",0,0.0833,0.4406,0.8494,0.1223,0.1508,0.6853,0.6853,1.0,EQUIVALENT
234,How does Emily perceive the uncertainty of the message?,She feels dread.,"Emily perceives the uncertainty of the message as emotionally conflicting, causing her to experience a blend of excitement for the potential surprise and anxiety due to the inability to determine the nature of the news.",0,0.0,0.3842,0.8818,0.0583,0.1137,0.9857,0.9857,0.0,NOT_EQUIVALENT
235,How does Mark feel about Sarah's confession?,He feels disappointed.,"Mark feels surprised and concerned about Sarah's confession, seeking to understand the reasons behind her actions and how they can address the situation together.",0,0.0741,0.2738,0.8864,0.0233,0.1192,0.6954,0.6954,0.0,NOT_EQUIVALENT
236,How secure does Sarah feel after confessing?,She feels insecure.,Sarah feels both relieved for confessing but also vulnerable due to her anxiety about Mark's reaction and the uncertainty of the situation.,0,0.08,0.3808,0.8769,0.0871,0.1225,0.9794,0.9794,1.0,EQUIVALENT
237,What is Sarah's primary emotion regarding her confession?,She fears his reaction.,Anxiety,0,0.0,0.3618,0.9339,0.0275,0.1229,0.1546,0.1546,1.0,EQUIVALENT
238,How does Emily feel about her advisor's guidance?,She feels unsupported.,Emily feels disappointed and frustrated with her advisor's guidance.,0,0.1667,0.4663,0.9307,0.0263,0.1474,0.5234,0.5234,1.0,EQUIVALENT
239,What does Emily think about her relationship with Mr. Smith?,She feels disconnected.,"Emily thinks that her relationship with Mr. Smith is strained and unproductive, as he is not providing the necessary guidance and support for her thesis, leading to her frustration and feelings of being misunderstood.",0,0.0,0.336,0.8538,0.025,0.1128,0.4539,0.4539,0.5,PARTIAL
240,How does Emily perceive her current situation?,She feels hopeless.,"Emily perceives her current situation as one of neglect and lack of understanding from her advisor, Mr. Smith, which is causing her frustration and a feeling of being misunderstood in her academic journey.",0,0.0,0.4158,0.7874,0.0406,0.104,0.4798,0.4798,0.5,PARTIAL
241,How disappointed is Emily about the rejection?,Very disappointed.,"Emily is deeply disappointed and possibly confused due to the discrepancy between her self-perception of her academic performance and the professor's assessment, which led to the rejection of her request for a recommendation letter.",0,0.0,0.3616,0.8326,0.0937,0.1341,0.9826,0.9826,1.0,EQUIVALENT
242,How does Emily feel about her abilities after the rejection?,She feels inadequate.,"Emily feels insecure about her abilities and doubts her performance after the rejection, as she perceives it as a lack of confidence from her professor despite her own belief in her competence.",0,0.1143,0.4527,0.8959,0.1024,0.1398,0.9584,0.9584,1.0,EQUIVALENT
243,What negative feelings does Emily experience?,She feels hopeless.,"Emily experiences feelings of disappointment and self-doubt due to the discrepancy between her self-perception of her academic performance and the professor's assessment, as indicated by his refusal to write a recommendation letter.",0,0.0,0.3666,0.8052,0.0657,0.1095,0.3589,0.3589,0.5,PARTIAL
244,How angry is Emily about the noise?,Very angry.,"Emily is highly angry and frustrated about the noise from her neighbor, as it is significantly impacting her ability to concentrate and relax, leading her to take action to address the issue.",0,0.0,0.273,0.8822,0.0932,0.1383,0.9756,0.9756,1.0,EQUIVALENT
245,Does Emily feel secure in her home?,"No, she feels disturbed.","No, Emily does not feel secure in her home due to the disruptive noise from her neighbor, which affects her concentration and relaxation.",0,0.0741,0.3981,0.8939,0.1003,0.1324,0.974,0.974,1.0,EQUIVALENT
246,How negative is Emily's perception of the situation?,Highly negative.,Extremely negative,0,0.0,0.8273,0.9917,0.1897,0.1936,0.9813,0.9813,1.0,EQUIVALENT
